vaksin_00768	Sebenere aku dom kasihan mas, tp mung dikatutke puskesmas kono wae nggo vaksin
vaksin_00769	Terserah lo GOBLOKKK mau percaya konspirasi covid yang versi manapun. Seenggaknya hargain usaha orang lain yg safety bgt ttg covid TOLOLLLLL.
vaksin_00770	Pegel deh tangan abis vaksin
vaksin_00773	Abis di vaksin tidur lelap bgt apakah ini termasuk akal2an elit global biar kita jadi kaum rebahan terus
vaksin_00780	Semua perkara pun kena Allah blessing…nak bernafas pun kena Allah blessing, nak suap nasi pun kena Allah blessing. Itu tak perlu cakap lah. Yang buat vaksin tu tu bukan negara islam pun tapi tetap blessing dari Allah. Modal hadi biasa nya itu aje
vaksin_00784	padahal td tdrnya jam set 6 pagi, bangun jam 9an. blm tdr" anjir gue ampe skrg, udh mana ntr pagi mo vaksin
vaksin_00786	penyebabnya: pms. ni juga alergiku bisa jadi krna pengaruh pms??? atau vaksin kemarin?? ntahlah, yg penting jangan sampe kolaps aja
vaksin_00787	dulu pernah kena no, gara gara ga vaksin trus kebetulan dia diluar rumah juga
vaksin_00791	Basically kalau korang daftar untuk vaksin sejak Feb 2021 dan masih tak dapat tarikh lagi, eloklah pergi serbu Helpdesk tu, lagi2 yang ada sakit dan berumur. Kau jgn dengar ckp KKM yang katanya method tu berita palsu.
vaksin_00793	Khofifah juga menjelaskan, hari ini Jawa Timur akan kembali mendapatkan vaksin dari pemerintah pusat
vaksin_00794	Polisi Putar Balik Paksa Warga Menyeberang Bakauheni Tanpa Surat Vaksin
vaksin_00798	jadi kemaren aku kan vaksin gitu, sebelum vaksin aku begadang gitu bener bener ga tidur sampe saatnya vaksin, sebelum vaksin kan aku mandi dulu, nah aku ngide banget pas mau mandi cukur jembita sampe botak gitu, dan sekarang gatel pol :)
vaksin_00806	Bete ah anjing pdhl hari ini rencananya mau vaksin tapi malah gabisa tidur.
vaksin_00810	Antrian offline vaksin ini sungguh tidak efektif, too much effort, bikin capek, bikin kerumunan dan belum tentu dapet juga
vaksin_00813	Mungkin ga sih segala berita tentang covid ini fitnah dajjal, ga ada yg bisa dipercaya simpang siur semua saling nyalahin
vaksin_00840	Ibu Hamil dan Anak di Bawah 12 Tahun Belum Diizinkan Divaksin Covid-19
